Date : 2025-07-10 01:39:18
Directory : d:\gazzeh travail\espace-elite\src
Total : 446 files,  59460 codes, 2838 comments, 6391 blanks, all 68689 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\gazzeh travail\espace-elite\src\components\settings\GeneralSettings.tsx                                                     | TypeScript JSX |        195 |          9 |         13 |        217 |
| d:\gazzeh travail\espace-elite\src\components\settings\RolePermissions.tsx                                                     | TypeScript JSX |        278 |         13 |         23 |        314 |
| d:\gazzeh travail\espace-elite\src\components\settings\UserManagement.tsx                                                      | TypeScript JSX |        151 |          3 |         12 |        166 |
| d:\gazzeh travail\espace-elite\src\components\settings\backup\BackupHistoryModal.tsx                                           | TypeScript JSX |        138 |          2 |          7 |        147 |
| d:\gazzeh travail\espace-elite\src\components\settings\backup\ExportControls.tsx                                               | TypeScript JSX |         91 |          0 |          9 |        100 |
| d:\gazzeh travail\espace-elite\src\components\settings\backup\ImportControls.tsx                                               | TypeScript JSX |         93 |          0 |          8 |        101 |
| d:\gazzeh travail\espace-elite\src\components\settings\backup\RestoreControls.tsx                                              | TypeScript JSX |         50 |          0 |          4 |         54 |
| d:\gazzeh travail\espace-elite\src\components\settings\backup\WarningAlert.tsx                                                 | TypeScript JSX |         19 |          0 |          3 |         22 |
| d:\gazzeh travail\espace-elite\src\components\settings\types\backup.ts                                                         | TypeScript     |         10 |          0 |          1 |         11 |
| d:\gazzeh travail\espace-elite\src\components\steps\PaymentStep.md                                                             | Markdown       |        228 |          0 |         42 |        270 |
| d:\gazzeh travail\espace-elite\src\components\steps\PaymentStep.tsx                                                            | TypeScript JSX |        348 |         31 |         47 |        426 |
| d:\gazzeh travail\espace-elite\src\components\tables\ClientTable.tsx                                                           | TypeScript JSX |         61 |          0 |          5 |         66 |
| d:\gazzeh travail\espace-elite\src\components\tables\DiagnosticTable.tsx                                                       | TypeScript JSX |         75 |          0 |          7 |         82 |
| d:\gazzeh travail\espace-elite\src\components\tables\LocationTable.tsx                                                         | TypeScript JSX |         69 |          0 |          5 |         74 |
| d:\gazzeh travail\espace-elite\src\components\tasks\AddTaskButton.tsx                                                          | TypeScript JSX |         36 |          0 |          3 |         39 |
| d:\gazzeh travail\espace-elite\src\components\tasks\DayTasksModal.tsx                                                          | TypeScript JSX |        114 |          0 |         10 |        124 |
| d:\gazzeh travail\espace-elite\src\components\tasks\TaskFormDialog.tsx                                                         | TypeScript JSX |        342 |          7 |         27 |        376 |
| d:\gazzeh travail\espace-elite\src\components\tasks\TaskModal.tsx                                                              | TypeScript JSX |        170 |          0 |         15 |        185 |
| d:\gazzeh travail\espace-elite\src\components\ui\Card.tsx                                                                      | TypeScript JSX |         71 |          0 |          9 |         80 |
| d:\gazzeh travail\espace-elite\src\components\ui\LoadingOverlay.tsx                                                            | TypeScript JSX |         16 |          0 |          5 |         21 |
| d:\gazzeh travail\espace-elite\src\components\ui\accordion.tsx                                                                 | TypeScript JSX |         50 |          0 |          9 |         59 |
| d:\gazzeh travail\espace-elite\src\components\ui\alert-dialog.tsx                                                              | TypeScript JSX |        127 |          0 |         15 |        142 |
| d:\gazzeh travail\espace-elite\src\components\ui\alert.tsx                                                                     | TypeScript JSX |         53 |          0 |          7 |         60 |
| d:\gazzeh travail\espace-elite\src\components\ui\avatar.tsx                                                                    | TypeScript JSX |         44 |          0 |          7 |         51 |
| d:\gazzeh travail\espace-elite\src\components\ui\badge.tsx                                                                     | TypeScript JSX |         35 |          0 |          6 |         41 |
| d:\gazzeh travail\espace-elite\src\components\ui\breadcrumb.tsx                                                                | TypeScript JSX |        105 |          0 |         11 |        116 |
| d:\gazzeh travail\espace-elite\src\components\ui\button.tsx                                                                    | TypeScript JSX |         63 |          0 |          6 |         69 |
| d:\gazzeh travail\espace-elite\src\components\ui\calendar.tsx                                                                  | TypeScript JSX |        141 |          0 |         12 |        153 |
| d:\gazzeh travail\espace-elite\src\components\ui\checkbox.tsx                                                                  | TypeScript JSX |         26 |          0 |          5 |         31 |
| d:\gazzeh travail\espace-elite\src\components\ui\collapsible.tsx                                                               | TypeScript JSX |          6 |          0 |          6 |         12 |
| d:\gazzeh travail\espace-elite\src\components\ui\combobox.tsx                                                                  | TypeScript JSX |        104 |          0 |          6 |        110 |
| d:\gazzeh travail\espace-elite\src\components\ui\command.tsx                                                                   | TypeScript JSX |        137 |          1 |         19 |        157 |
| d:\gazzeh travail\espace-elite\src\components\ui\container.tsx                                                                 | TypeScript JSX |         13 |          0 |          2 |         15 |
| d:\gazzeh travail\espace-elite\src\components\ui\data-table.tsx                                                                | TypeScript JSX |         48 |          0 |          4 |         52 |
| d:\gazzeh travail\espace-elite\src\components\ui\date-picker.tsx                                                               | TypeScript JSX |         52 |          0 |          3 |         55 |
| d:\gazzeh travail\espace-elite\src\components\ui\dialog.tsx                                                                    | TypeScript JSX |        109 |          0 |         14 |        123 |
| d:\gazzeh travail\espace-elite\src\components\ui\dropdown-menu.tsx                                                             | TypeScript JSX |        182 |          0 |         19 |        201 |
| d:\gazzeh travail\espace-elite\src\components\ui\enhanced-table.tsx                                                            | TypeScript JSX |        131 |          5 |         18 |        154 |
| d:\gazzeh travail\espace-elite\src\components\ui\form.tsx                                                                      | TypeScript JSX |        154 |          0 |         26 |        180 |
| d:\gazzeh travail\espace-elite\src\components\ui\index.ts                                                                      | TypeScript     |          3 |          0 |          0 |          3 |
| d:\gazzeh travail\espace-elite\src\components\ui\input.tsx                                                                     | TypeScript JSX |         21 |          0 |          5 |         26 |
| d:\gazzeh travail\espace-elite\src\components\ui\label.tsx                                                                     | TypeScript JSX |         21 |          0 |          6 |         27 |
| d:\gazzeh travail\espace-elite\src\components\ui\pagination.tsx                                                                | TypeScript JSX |        107 |          0 |         11 |        118 |
| d:\gazzeh travail\espace-elite\src\components\ui\popover.tsx                                                                   | TypeScript JSX |         25 |          0 |          7 |         32 |
| d:\gazzeh travail\espace-elite\src\components\ui\progress.tsx                                                                  | TypeScript JSX |         24 |          0 |          5 |         29 |
| d:\gazzeh travail\espace-elite\src\components\ui\radio-group.tsx                                                               | TypeScript JSX |         39 |          0 |          6 |         45 |
| d:\gazzeh travail\espace-elite\src\components\ui\select.tsx                                                                    | TypeScript JSX |        146 |          0 |         15 |        161 |
| d:\gazzeh travail\espace-elite\src\components\ui\separator.tsx                                                                 | TypeScript JSX |         27 |          0 |          5 |         32 |
| d:\gazzeh travail\espace-elite\src\components\ui\sheet.tsx                                                                     | TypeScript JSX |        125 |          0 |         16 |        141 |
| d:\gazzeh travail\espace-elite\src\components\ui\skeleton.tsx                                                                  | TypeScript JSX |         13 |          0 |          3 |         16 |
| d:\gazzeh travail\espace-elite\src\components\ui\slider.tsx                                                                    | TypeScript JSX |         44 |          0 |          8 |         52 |
| d:\gazzeh travail\espace-elite\src\components\ui\switch.tsx                                                                    | TypeScript JSX |         25 |          0 |          5 |         30 |
| d:\gazzeh travail\espace-elite\src\components\ui\table.tsx                                                                     | TypeScript JSX |        107 |          0 |         11 |        118 |
| d:\gazzeh travail\espace-elite\src\components\ui\tabs.tsx                                                                      | TypeScript JSX |         48 |          0 |          8 |         56 |
| d:\gazzeh travail\espace-elite\src\components\ui\textarea.tsx                                                                  | TypeScript JSX |         20 |          2 |          5 |         27 |
| d:\gazzeh travail\espace-elite\src\components\ui\toast.tsx                                                                     | TypeScript JSX |        116 |          0 |         14 |        130 |
| d:\gazzeh travail\espace-elite\src\components\ui\toaster.tsx                                                                   | TypeScript JSX |         32 |          0 |          4 |         36 |
| d:\gazzeh travail\espace-elite\src\components\ui\tooltip.tsx                                                                   | TypeScript JSX |         23 |          0 |          8 |         31 |
| d:\gazzeh travail\espace-elite\src\components\ui\use-toast.ts                                                                  | TypeScript     |        159 |          4 |         31 |        194 |
| d:\gazzeh travail\espace-elite\src\components\user\UserActions.tsx                                                             | TypeScript JSX |         63 |          0 |          8 |         71 |
| d:\gazzeh travail\espace-elite\src\components\user\UserDetails.tsx                                                             | TypeScript JSX |        148 |          0 |          6 |        154 |
| d:\gazzeh travail\espace-elite\src\components\user\UserHeader.tsx                                                              | TypeScript JSX |         89 |          1 |          9 |         99 |
| d:\gazzeh travail\espace-elite\src\components\user\UserRelations.tsx                                                           | TypeScript JSX |        224 |          0 |         10 |        234 |
| d:\gazzeh travail\espace-elite\src\components\welcome\CTASection.tsx                                                           | TypeScript JSX |         24 |          0 |          3 |         27 |
| d:\gazzeh travail\espace-elite\src\components\welcome\FeaturesSection.tsx                                                      | TypeScript JSX |         60 |          0 |          4 |         64 |
| d:\gazzeh travail\espace-elite\src\components\welcome\Footer.tsx                                                               | TypeScript JSX |         22 |          0 |          3 |         25 |
| d:\gazzeh travail\espace-elite\src\components\welcome\Header.tsx                                                               | TypeScript JSX |         23 |          0 |          4 |         27 |
| d:\gazzeh travail\espace-elite\src\components\welcome\HeroSection.tsx                                                          | TypeScript JSX |         43 |          2 |          3 |         48 |
| d:\gazzeh travail\espace-elite\src\components\welcome\TestimonialsSection.tsx                                                  | TypeScript JSX |         48 |          0 |          4 |         52 |
| d:\gazzeh travail\espace-elite\src\hooks\useCNAMDossiers.ts                                                                    | TypeScript     |        163 |         23 |         36 |        222 |
| d:\gazzeh travail\espace-elite\src\hooks\useDebounce.ts                                                                        | TypeScript     |         13 |          8 |          5 |         26 |
| d:\gazzeh travail\espace-elite\src\hooks\useFileManager.ts                                                                     | TypeScript     |          0 |          0 |          1 |          1 |
| d:\gazzeh travail\espace-elite\src\lib\auth.ts                                                                                 | TypeScript     |         19 |          4 |          6 |         29 |
| d:\gazzeh travail\espace-elite\src\lib\db.ts                                                                                   | TypeScript     |         11 |          0 |          4 |         15 |
| d:\gazzeh travail\espace-elite\src\lib\payment-utils.ts                                                                        | TypeScript     |        228 |         33 |         35 |        296 |
| d:\gazzeh travail\espace-elite\src\lib\prisma.ts                                                                               | TypeScript     |         26 |          2 |          6 |         34 |
| d:\gazzeh travail\espace-elite\src\lib\uploadthing.ts                                                                          | TypeScript     |          9 |          6 |          3 |         18 |
| d:\gazzeh travail\espace-elite\src\lib\utils.ts                                                                                | TypeScript     |         11 |          5 |          5 |         21 |
| d:\gazzeh travail\espace-elite\src\middleware.ts                                                                               | TypeScript     |         70 |         31 |         17 |        118 |
| d:\gazzeh travail\espace-elite\src\pages\_app.tsx                                                                              | TypeScript JSX |         85 |         15 |         19 |        119 |
| d:\gazzeh travail\espace-elite\src\pages\api\auth\[...nextauth].ts                                                             | TypeScript     |         88 |          6 |         11 |        105 |
| d:\gazzeh travail\espace-elite\src\pages\api\auth\signup.ts                                                                    | TypeScript     |         38 |          6 |          9 |         53 |
| d:\gazzeh travail\espace-elite\src\pages\api\clients\[id].ts                                                                   | TypeScript     |         90 |          2 |         11 |        103 |
| d:\gazzeh travail\espace-elite\src\pages\api\clients\index.ts                                                                  | TypeScript     |         71 |          0 |          7 |         78 |
| d:\gazzeh travail\espace-elite\src\pages\api\companies\index.ts                                                                | TypeScript     |         25 |          0 |          3 |         28 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostic-parameters\[id].ts                                                     | TypeScript     |         69 |          6 |         16 |         91 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostic-parameters\index.ts                                                    | TypeScript     |         49 |          4 |          9 |         62 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostic-results\[id].ts                                                        | TypeScript     |        149 |         18 |         26 |        193 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostic-results\pending.ts                                                     | TypeScript     |         46 |          4 |          6 |         56 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostics\[id]\documents\[documentId].ts                                        | TypeScript     |         45 |          6 |         11 |         62 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostics\[id]\documents\index.ts                                               | TypeScript     |         58 |          8 |         12 |         78 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostics\[id]\index.ts                                                         | TypeScript     |        172 |         24 |         28 |        224 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostics\index.ts                                                              | TypeScript     |        307 |         29 |         42 |        378 |
| d:\gazzeh travail\espace-elite\src\pages\api\diagnostics\simple.ts                                                             | TypeScript     |         50 |          0 |         11 |         61 |
| d:\gazzeh travail\espace-elite\src\pages\api\doctors\index.ts                                                                  | TypeScript     |        126 |          5 |         18 |        149 |
| d:\gazzeh travail\espace-elite\src\pages\api\files\index.ts                                                                    | TypeScript     |        116 |         11 |         18 |        145 |
| d:\gazzeh travail\espace-elite\src\pages\api\locations\index.ts                                                                | TypeScript     |         78 |          1 |          8 |         87 |
| d:\gazzeh travail\espace-elite\src\pages\api\medical-devices\[id].ts                                                           | TypeScript     |        333 |         19 |         38 |        390 |
| d:\gazzeh travail\espace-elite\src\pages\api\medical-devices\[id]\assign.ts                                                    | TypeScript     |         32 |          0 |          8 |         40 |
| d:\gazzeh travail\espace-elite\src\pages\api\medical-devices\by-location.ts                                                    | TypeScript     |         57 |          2 |          9 |         68 |
| d:\gazzeh travail\espace-elite\src\pages\api\medical-devices\diagnostic-devices.ts                                             | TypeScript     |         36 |          0 |          5 |         41 |
| d:\gazzeh travail\espace-elite\src\pages\api\medical-devices\index.ts                                                          | TypeScript     |        342 |         24 |         34 |        400 |
| d:\gazzeh travail\espace-elite\src\pages\api\medical-devices\transfer.ts                                                       | TypeScript     |         98 |         13 |         16 |        127 |
| d:\gazzeh travail\espace-elite\src\pages\api\notifications\[id].ts                                                             | TypeScript     |         47 |          3 |          9 |         59 |
| d:\gazzeh travail\espace-elite\src\pages\api\notifications\[id]\view.ts                                                        | TypeScript     |         23 |          0 |          5 |         28 |
| d:\gazzeh travail\espace-elite\src\pages\api\notifications\get-user-notifications.ts                                           | TypeScript     |         43 |          4 |          9 |         56 |
| d:\gazzeh travail\espace-elite\src\pages\api\notifications\index.ts                                                            | TypeScript     |        151 |         10 |         28 |        189 |
| d:\gazzeh travail\espace-elite\src\pages\api\notifications\mark-as-read.ts                                                     | TypeScript     |         40 |          4 |         10 |         54 |
| d:\gazzeh travail\espace-elite\src\pages\api\patients\[id].ts                                                                  | TypeScript     |         60 |          0 |          9 |         69 |
| d:\gazzeh travail\espace-elite\src\pages\api\patients\index.ts                                                                 | TypeScript     |         25 |          0 |          3 |         28 |
| d:\gazzeh travail\espace-elite\src\pages\api\patients\list.ts                                                                  | TypeScript     |         33 |          0 |          5 |         38 |
| d:\gazzeh travail\espace-elite\src\pages\api\payments\cnam\[id].ts                                                             | TypeScript     |        284 |         46 |         49 |        379 |
| d:\gazzeh travail\espace-elite\src\pages\api\payments\create.ts                                                                | TypeScript     |        126 |          9 |         16 |        151 |
| d:\gazzeh travail\espace-elite\src\pages\api\products\index.ts                                                                 | TypeScript     |        141 |         13 |         23 |        177 |
| d:\gazzeh travail\espace-elite\src\pages\api\profile\me.ts                                                                     | TypeScript     |         45 |          0 |          7 |         52 |
| d:\gazzeh travail\espace-elite\src\pages\api\renseignements\[id].ts                                                            | TypeScript     |        415 |         31 |         43 |        489 |
| d:\gazzeh travail\espace-elite\src\pages\api\renseignements\companies\index.ts                                                 | TypeScript     |        180 |          6 |         23 |        209 |
| d:\gazzeh travail\espace-elite\src\pages\api\renseignements\index.ts                                                           | TypeScript     |        562 |          7 |         36 |        605 |
| d:\gazzeh travail\espace-elite\src\pages\api\renseignements\patients\[id].ts                                                   | TypeScript     |         61 |          3 |         13 |         77 |
| d:\gazzeh travail\espace-elite\src\pages\api\renseignements\patients\index.ts                                                  | TypeScript     |        310 |         28 |         42 |        380 |
| d:\gazzeh travail\espace-elite\src\pages\api\renseignements\patients\search.ts                                                 | TypeScript     |        136 |          8 |          9 |        153 |
| d:\gazzeh travail\espace-elite\src\pages\api\rentals\[id]\index.ts                                                             | TypeScript     |         46 |          7 |          9 |         62 |
| d:\gazzeh travail\espace-elite\src\pages\api\rentals\index.ts                                                                  | TypeScript     |        204 |         18 |         23 |        245 |
| d:\gazzeh travail\espace-elite\src\pages\api\repair-locations\index.ts                                                         | TypeScript     |         88 |          1 |         13 |        102 |
| d:\gazzeh travail\espace-elite\src\pages\api\repairs\index.ts                                                                  | TypeScript     |        151 |          7 |         15 |        173 |
| d:\gazzeh travail\espace-elite\src\pages\api\role\employee\diagnostics.ts                                                      | TypeScript     |         73 |          6 |          8 |         87 |
| d:\gazzeh travail\espace-elite\src\pages\api\role\employee\diagnostics\[id].ts                                                 | TypeScript     |          6 |          0 |          3 |          9 |
| d:\gazzeh travail\espace-elite\src\pages\api\sales\[id].ts                                                                     | TypeScript     |        368 |         42 |         53 |        463 |
| d:\gazzeh travail\espace-elite\src\pages\api\sales\[id]\payments.ts                                                            | TypeScript     |        276 |         44 |         53 |        373 |
| d:\gazzeh travail\espace-elite\src\pages\api\sales\index.ts                                                                    | TypeScript     |        318 |         33 |         46 |        397 |
| d:\gazzeh travail\espace-elite\src\pages\api\search\index.ts                                                                   | TypeScript     |        213 |         11 |         20 |        244 |
| d:\gazzeh travail\espace-elite\src\pages\api\settings\backup.ts                                                                | TypeScript     |        287 |         50 |         56 |        393 |
| d:\gazzeh travail\espace-elite\src\pages\api\settings\backup\restore-json.ts                                                   | TypeScript     |        130 |         26 |         26 |        182 |
| d:\gazzeh travail\espace-elite\src\pages\api\settings\general.ts                                                               | TypeScript     |         59 |          8 |         11 |         78 |
| d:\gazzeh travail\espace-elite\src\pages\api\settings\restore.ts                                                               | TypeScript     |         80 |         13 |         22 |        115 |
| d:\gazzeh travail\espace-elite\src\pages\api\societes\[id].ts                                                                  | TypeScript     |         65 |          1 |         10 |         76 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock-locations\[id].ts                                                           | TypeScript     |         89 |          5 |         15 |        109 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock-locations\[id]\contents.ts                                                  | TypeScript     |         21 |          0 |          7 |         28 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock-locations\index.ts                                                          | TypeScript     |         72 |          2 |         10 |         84 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock-locations\setup.ts                                                          | TypeScript     |         58 |          3 |          9 |         70 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock\inventory\index.ts                                                          | TypeScript     |        185 |         18 |         20 |        223 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock\locations\index.ts                                                          | TypeScript     |        122 |          8 |         17 |        147 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock\transfers\[id]\index.ts                                                     | TypeScript     |        142 |          2 |         22 |        166 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock\transfers\[id]\verify.ts                                                    | TypeScript     |         72 |          5 |         12 |         89 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock\transfers\history.ts                                                        | TypeScript     |         87 |          0 |          7 |         94 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock\transfers\index.ts                                                          | TypeScript     |        163 |          5 |         16 |        184 |
| d:\gazzeh travail\espace-elite\src\pages\api\stock\transfers\recent.ts                                                         | TypeScript     |         20 |          2 |          2 |         24 |
| d:\gazzeh travail\espace-elite\src\pages\api\tasks\[id]\complete.ts                                                            | TypeScript     |         70 |          6 |          9 |         85 |
| d:\gazzeh travail\espace-elite\src\pages\api\tasks\index.ts                                                                    | TypeScript     |        187 |          0 |         28 |        215 |
| d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\index.ts                                                         | TypeScript     |         45 |          0 |          9 |         54 |
| d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\installations.ts                                                 | TypeScript     |        143 |          6 |         12 |        161 |
| d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\payments.ts                                                      | TypeScript     |         78 |          2 |         10 |         90 |
| d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\tasks.ts                                                         | TypeScript     |         41 |          2 |         10 |         53 |
| d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\transfers.ts                                                     | TypeScript     |         57 |          2 |         10 |         69 |
| d:\gazzeh travail\espace-elite\src\pages\api\technicians\index.ts                                                              | TypeScript     |         64 |          3 |          8 |         75 |
| d:\gazzeh travail\espace-elite\src\pages\api\upload\index.ts                                                                   | TypeScript     |         53 |          4 |         11 |         68 |
| d:\gazzeh travail\espace-elite\src\pages\api\uploadthing.ts                                                                    | TypeScript     |          6 |          1 |          4 |         11 |
| d:\gazzeh travail\espace-elite\src\pages\api\users\[id]\relations.ts                                                           | TypeScript     |         72 |          1 |         11 |         84 |
| d:\gazzeh travail\espace-elite\src\pages\api\users\doctors.ts                                                                  | TypeScript     |         40 |          0 |          7 |         47 |
| d:\gazzeh travail\espace-elite\src\pages\api\users\employees.ts                                                                | TypeScript     |         40 |          0 |          5 |         45 |
| d:\gazzeh travail\espace-elite\src\pages\api\users\formatted.ts                                                                | TypeScript     |         58 |         11 |         10 |         79 |
| d:\gazzeh travail\espace-elite\src\pages\api\users\index.ts                                                                    | TypeScript     |        220 |         30 |         35 |        285 |
| d:\gazzeh travail\espace-elite\src\pages\api\users\technicians.ts                                                              | TypeScript     |         42 |          0 |          7 |         49 |
| d:\gazzeh travail\espace-elite\src\pages\auth\signin.tsx                                                                       | TypeScript JSX |        124 |          0 |          8 |        132 |
| d:\gazzeh travail\espace-elite\src\pages\auth\signup.tsx                                                                       | TypeScript JSX |        185 |          4 |         14 |        203 |
| d:\gazzeh travail\espace-elite\src\pages\index.tsx                                                                             | TypeScript JSX |         23 |          1 |          5 |         29 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminLayout.tsx                                                           | TypeScript JSX |         70 |         11 |         17 |         98 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminNavbar.tsx                                                           | TypeScript JSX |        358 |         25 |         33 |        416 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminSidebar.tsx                                                          | TypeScript JSX |        300 |         20 |         39 |        359 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\accessory\[id].tsx                                              | TypeScript JSX |        124 |          0 |         12 |        136 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\AccessoriesTable.tsx                                 | TypeScript JSX |        279 |         14 |         23 |        316 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\DeviceActions.tsx                                    | TypeScript JSX |         96 |          0 |         12 |        108 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\DiagnosticDevicesTable.tsx                           | TypeScript JSX |        256 |         11 |         21 |        288 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\DiagnosticResultsNotification.tsx                    | TypeScript JSX |        205 |          5 |         18 |        228 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\LocationEditForm.tsx                                 | TypeScript JSX |        148 |          4 |         13 |        165 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\LocationForm.tsx                                     | TypeScript JSX |        122 |          2 |         11 |        135 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\MedicalDevicesTable.tsx                              | TypeScript JSX |        269 |         11 |         26 |        306 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\ParameterPreviewDialog.tsx                           | TypeScript JSX |         71 |          1 |          7 |         79 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\ParametersViewDialog.tsx                             | TypeScript JSX |        114 |          1 |         11 |        126 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\RepairHistoryDialog.tsx                              | TypeScript JSX |        119 |          1 |          7 |        127 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\SparePartsTable.tsx                                  | TypeScript JSX |        277 |         14 |         21 |        312 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\StockLocationsTable.tsx                              | TypeScript JSX |        376 |         14 |         32 |        422 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\TabSwitcher.tsx                                      | TypeScript JSX |         30 |          0 |          3 |         33 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\dialogs\AssignDeviceDialog.tsx                       | TypeScript JSX |        148 |          1 |         14 |        163 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\dialogs\EditDeviceDialog.tsx                         | TypeScript JSX |         65 |          1 |          8 |         74 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\dialogs\RepairDeviceDialog.tsx                       | TypeScript JSX |         47 |          0 |          6 |         53 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\AccessoryForm.tsx                              | TypeScript JSX |        292 |          1 |         15 |        308 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\DiagnosticDeviceForm.tsx                       | TypeScript JSX |        374 |         13 |         36 |        423 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\MedicalDeviceForm.tsx                          | TypeScript JSX |        425 |          7 |         28 |        460 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\ParameterConsumer.tsx                          | TypeScript JSX |        445 |         31 |         49 |        525 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\RepairForm.tsx                                 | TypeScript JSX |        371 |          3 |         35 |        409 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\SparePartForm.tsx                              | TypeScript JSX |        239 |          5 |         18 |        262 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\diagnostic-device\[id].tsx                                      | TypeScript JSX |        144 |          0 |         15 |        159 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\index.tsx                                                       | TypeScript JSX |        569 |         13 |         34 |        616 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\medical-device\[id].tsx                                         | TypeScript JSX |        162 |          0 |         22 |        184 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\spare-part\[id].tsx                                             | TypeScript JSX |        124 |          0 |         12 |        136 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\DiagnosticStepperDialog.tsx                          | TypeScript JSX |        513 |         52 |         69 |        634 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\DiagnosticStepperSidebar.tsx                         | TypeScript JSX |        111 |          5 |          8 |        124 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\PatientInfoCard.tsx                                  | TypeScript JSX |         67 |          3 |          7 |         77 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\ProductFormCompany.tsx                               | TypeScript JSX |        191 |          4 |         14 |        209 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\ProductFormPatient.tsx                               | TypeScript JSX |        150 |          4 |         13 |        167 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\RentStepperDialog.tsx                                | TypeScript JSX |        327 |         25 |         39 |        391 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\RentStepperSidebar.tsx                               | TypeScript JSX |        190 |          9 |         12 |        211 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\SaleStepperDialog.tsx                                | TypeScript JSX |        414 |         31 |         47 |        492 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\SaleStepperSidebar.tsx                               | TypeScript JSX |        204 |          9 |         13 |        226 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\StepperForm.tsx                                      | TypeScript JSX |        104 |          1 |         10 |        115 |
| d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\TabSwitcher.tsx                                      | TypeScript JSX |         56 |          0 |          6 |         62 |
